id,name,category,sn,status,location
Non-PPC000776,"10 Station Hydraulic Remote Stand",Valves,Nothing,Available,"Red Deer"
PPC045163,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-11,Available,"Red Deer"
PPC045164,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-12,Available,"Red Deer"
PPC045165,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-13,Available,"Red Deer"
PPC045166,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-14,Available,"Red Deer"
PPC045167,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-15,Available,"Red Deer"
PPC045168,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-16,Available,"Red Deer"
PPC045169,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-17,Available,"Red Deer"
PPC045170,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-18,Available,"Red Deer"
PPC045171,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-19,Available,"Red Deer"
PPC045172,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-20,Available,"Red Deer"
PPC045173,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-34,New,"Red Deer"
PPC045174,"3"" DC-15 | 45 Degree Fitting",Valves,AK921-35,Available,"Red Deer"
PPC047713,"4 Station Hydraulic Remote Stand",Valves,,Available,"Grand Prairie"
PPC047714,"4 Station Hydraulic Remote Stand",Valves,,Available,Nisku
PPC047715,"4 Station Hydraulic Remote Stand",Valves,,Available,Nisku
PPC047716,"4 Station Hydraulic Remote Stand",Valves,,Available,Nisku
PPC033862,"45 Degree Double Swivel",Valves,19005409019.0,Available,"Grand Prairie"
PPC046517,"45 Degree Elbow | 7-1/16"" 15K",Valves,PL23L752,Available,"Red Deer"
"PPC 023295","5-1/8"" 15K Cross(4-Way)",Valves,I16294-3-002,Available,"Red Deer"
PPC034590,"5-1/8"" 15K Cross(4-Way)",Valves,F25651-2-001,Available,"Grand Prairie"
PPC040802,"5-1/8"" 15K Cross(4-Way)",Valves,JPTD220115-2-007,Available,"Red Deer"
PPC041467,"5-1/8"" 15K Cross(4-Way)",Valves,F27066-2-002,Available,"Red Deer"
PPC041469,"5-1/8"" 15K Cross(4-Way)",Valves,F26412-1-006,Available,"Red Deer"
PPC044293,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-007,In-Use,"Grand Prairie"
PPC044294,"5-1/8"" 15K Cross(4-Way)",Valves,F1019-2-002,Available,"Grand Prairie"
PPC044296,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-009,In-Use,"Grand Prairie"
PPC044302,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-024,Available,"Grand Prairie"
PPC044291,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-005,Available,"Red Deer"
PPC044301,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-020,Available,"Red Deer"
PPC044292,"5-1/8"" 15K Cross(4-Way)",Valves,F1019-2-003,Available,"Red Deer"
PPC044295,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-004,Available,"Grand Prairie"
PPC044300,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-023,In-Use,"Grand Prairie"
PPC044299,"5-1/8"" 15K Cross(4-Way)",Valves,F28501-1-022,In-Use,"Grand Prairie"
PPC034608,"5-1/8"" 15K Tee(3-Way)",Valves,F26550-1-012,Available,"Red Deer"
PPC041465,"5-1/8"" 15K Tee(3-Way)",Valves,F26531-1-011,In-Use,"Grand Prairie"
PPC041841,"5-1/8"" 15K Tee(3-Way)",Valves,F26550-1-007,Available,"Red Deer"
PPC041929,"5-1/8"" 15K Tee(3-Way)",Valves,F27197-1-006,In-Use,"Grand Prairie"
PPC043231,"5-1/8"" 15K Tee(3-Way)",Valves,F27066-1-003,Available,"Red Deer"
PPC044239,"5-1/8"" 15K Tee(3-Way)",Valves,F27614-1-004,New,"Red Deer"
PPC044240,"5-1/8"" 15K Tee(3-Way)",Valves,F27614-1-006,Available,"Grand Prairie"
PPC044241,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-001,In-Use,"Grand Prairie"
PPC044242,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-002,Available,"Grand Prairie"
PPC044243,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-003,Available,"Grand Prairie"
PPC044244,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-004,Available,"Grand Prairie"
PPC044245,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-005,Available,"Grand Prairie"
PPC044246,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-006,Available,"Grand Prairie"
PPC044247,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-007,New,"Red Deer"
PPC044248,"5-1/8"" 15K Tee(3-Way)",Valves,F1019-1-008,In-Use,"Grand Prairie"
PPC044285,"5-1/8"" 15K Tee(3-Way)",Valves,F27197-1-003,Available,"Grand Prairie"
PPC044286,"5-1/8"" 15K Tee(3-Way)",Valves,F27197-1-002,Available,"Grand Prairie"
