id,customer,surface_lsd,products,rig_in_date,start_date,end_date,num_wells,valve_7_1_16,valve_5_1_8,valve_hyd,valve_man,gateway_pods,awc_pods,grease_unit,coil_trees,accumulator,techs,work_orders
1,Tourmaline,C-31H/94-B-009,Frac Stacks / Zipper,TBD,45324,45344,8,0,40,24,8,8,0,Combo-1,,1,4,
2,Whitecap,02-35-064-05w6,Frac Stacks / Zipper / PPL,TBD,45354,45369,4,10,12,16,2,4,0,Grease-Seacan(1),,1,4,
3,AOC,03-18-064-18-W5M,Frac Stacks / Zipper,TBD,45352,45368,2,4,6,6,4,2,0,Greasy,,1,4,
4,Whitecap,02-35-064-05w6,Frac Stacks / Zipper / PPL,TBD,45354,45369,4,10,12,16,2,4,0,Grease-Seacan(1),,1,4,
5,Baytex,0705-045-02-w5m,Frac Stacks / Zipper,TBD,45390,45413,3,6,10,9,3,3,0,Combo-2,,,4,
6,Nuvista,02-36-070-09W6 ,Frac Stacks / Zipper,TBD,45400,45413,4,10,12,16,2,4,0,Grease-Seacan(1),,1,4,
7,Whitecap,11-34-060-20-w5m,Frac Stacks / Zipper,TBD,45407,45437,3,7,9,12,2,3,0,Greasy,,1,4,
8,Chevron,16-18-061-18-w5m(A),Frac Stacks / Zipper,TBD,45417,45467,6,12,18,24,2,6,0,Combo-1,,,4,
9,Chevron,16-18-061-18-w5m(B),Frac Stacks / Zipper,TBD,45415,45496,4,8,12,16,2,0,4,Combo-1,,,4,
10,Teine,03-26-53-13-W5M,Frac Stacks / Zipper,45440,45446,45458,1,2,3,4,0,1,0,Greasy,,1,2,
11,Pacific Canbriam,C-98-D/94-A-5,Frac Stacks / Zipper / PPL,45452,45457,45487,5,4,24,20,4,5,0,Grease Seacan(3)-New,,1,4,
12,Baytex,06-27-045-02-w5m,Frac Stacks / Zipper / PPL,45453,45457,45477,4,8,16,12,4,4,0,Combo-2,,,4,
13,ConcoPhillips,05-27-088-024-W6M,Frac Stacks / Zipper,45458,45463,45483,4,15,4,8,10,4,0,Grease Seacan(2)-New,,1,4,
14,Whitecap,01-35-064-05-w6m,Frac Stacks / Zipper / PPL,45461,45463,45484,4,10,12,16,2,4,0,Greasy (From Teine),,1,4,
15,Nuvista,16-33-071-09-w6m,Frac Stacks / Zipper,45463,45468,45489,6,16,18,24,4,6,0,Grease-Seacan(1),,1,4,
16,True Canadian (KEC),XX-XX-XX-XX-W5M,Frac Stacks / Zipper / PPL,45464,45468,45487,3,8,6,9,3,0,3,Grease Seacan(4)-New,,1,,
17,Paramount,04-07-040-05-w5m,Frac Stacks / Zipper / Missile,45485,45496,45511,3,7,9,12,2,3,0,Combo-2,,1,4,
18,Chevron,16-14-62-19D1,Frac Stacks / Zipper,45483,45492,45527,6,12,18,24,2,6,0,Combo-1,,1,4,
19,Halo Exploration,04-17-066-21W5,Frac Stacks / Zipper,45486,45490,45499,1,1,3,2,2,1,0,TBD,,1,2,
20,Whitecap,11-14-60-20W5,Frac Stacks / Zipper / PPL,45509,45510,45535,5,13,15,20,2,5,0,Grease Seacan(3),,1,4,
21,Nuvista,12-05-069-07-w6m,Frac Stacks / Zipper,45510,45517,45534,6,16,18,24,4,6,0,Grease-Seacan(1),,1,4,
22,Paramount,07-33-065-05w6m,Frac Stacks / Zipper / Missile / PPL,45514,45514,45529,4,13,15,20,2,5,0,Greasy,,1,4,
23,True Canadian (KEC),01-27-61-24-W5M,Frac Stacks / Zipper / PPL,45512,45519,45533,2,4,8,12,0,2,1,Grease Seacan(4),,1,,
24,Teine,05-02-053-12-w5m,Frac Stacks / Zipper,45516,45520,45550,6,16,18,24,2,6,0,Grease Seacan(2),,1,4,
25,Whitecap,10-24-061-03W6M,Frac Stacks / Zipper,45538,45540,45547,1,2,3,4,0,1,0,Greasy,,2,4,
